,Date,Open,Close/Last,Volume
0,8/23/2021,$390.34 ,$411.89 ,15796510
1,8/20/2021,$374.55 ,$382.98 ,13216680
2,8/19/2021,$385 ,$375.53 ,14254720
3,8/18/2021,$406.50 ,$398.80 ,19121810
4,8/17/2021,$361 ,$401.86 ,25982140
5,8/16/2021,$379.27 ,$373.86 ,23602810
6,8/13/2021,$405.24 ,$389.78 ,16533670
7,8/12/2021,$400 ,$391.42 ,34345050
8,8/11/2021,$443.57 ,$385.33 ,53882160
9,8/10/2021,$485.50 ,$456.76 ,36503720
10,8/9/2021,$411.30 ,$484.47 ,42269880
11,8/6/2021,$410.30 ,$413.72 ,18924650
12,8/5/2021,$409.72 ,$416.26 ,25571510
13,8/4/2021,$385 ,$419.05 ,32251620
14,8/3/2021,$348.50 ,$386.51 ,20424080
15,8/2/2021,$360 ,$346.61 ,13685920
16,7/30/2021,$346.90 ,$353.60 ,11345690
17,7/29/2021,$350.64 ,$345.64 ,10100730
18,7/28/2021,$333.01 ,$349.32 ,13091570
19,7/27/2021,$335.31 ,$328.50 ,17196690
20,7/26/2021,$352 ,$335.87 ,23387800
21,7/23/2021,$330.90 ,$348.83 ,23431400
22,7/22/2021,$319 ,$323.48 ,16491280
23,7/21/2021,$298.51 ,$321.11 ,30859290
24,7/20/2021,$318.22 ,$307.33 ,123115500
25,7/19/2021,$284.54 ,$313.59 ,35526770
26,7/16/2021,$276.92 ,$286.43 ,41397250
27,7/15/2021,$246.66 ,$259.68 ,15130780
28,7/14/2021,$237.25 ,$246.66 ,9420397
29,7/13/2021,$239.14 ,$235.15 ,4186383
30,7/12/2021,$230.98 ,$239.34 ,6938180
31,7/9/2021,$231.97 ,$232.81 ,5305101
32,7/8/2021,$215.66 ,$232.79 ,8719363
33,7/7/2021,$231.76 ,$221.90 ,4889299
34,7/6/2021,$229.62 ,$233.34 ,4956460
35,7/2/2021,$235.10 ,$234.30 ,4200450
36,7/1/2021,$236.30 ,$235.11 ,5933146
37,6/30/2021,$237.98 ,$234.98 ,9319109
38,6/29/2021,$221.19 ,$234.46 ,11417040
39,6/28/2021,$223 ,$222.94 ,6190647
